content_ko	content_en
What's your least favorite word in the English language?	내가 가장 싫어하는 영어 단어는?
What's a random skill you've mastered that no one knows about?	아무도 모르는 내가 마스터한 특기는?
If you could teleport anywhere for 24 hours, where would you go?	24시간 동안 어디든 순간이동할 수 있다면, 어디로 가고 싶은가?
What's your go-to comfort food when you're having a bad day?	우울할 때 찾게 되는 최애 음식은?
What's your most controversial food opinion?	내가 가진 가장 논란이 될 만한 음식 취향은?
What's the weirdest dream you've had recently?	최근에 꾼 가장 이상한 꿈은?
If you could have any animal as a pet with no consequences, what would you choose?	아무런 제약이 없다면, 키우고 싶은 동물은?
What's something you were obsessed with as a kid that you still secretly love?	어릴 때 집착했던 것 중 아직도 좋아하는 것은?
If you could instantly become fluent in any language, which would you choose?	순식간에 유창하게 말할 수 있게 된다면, 배우고 싶은 언어는?
What's a trend you refused to participate in?	따라하지 않겠다고 고집했던 트렌드는?
What's your favorite meme of all time?	내 인생 최고의 밈은?
If you were a character in the last show/movie you watched, who would you be?	마지막으로 본 영화/드라마 속 캐릭터 중 내가 된다면, 누구인가?
What's something you do differently than most people?	남들과 다르게 하는 내 습관은?
What's the most useless talent you have?	내가 가진 가장 쓸모없는 재능은?
If you could only use 3 apps for the rest of your life, which would you keep?	평생 단 3개의 앱만 쓸 수 있다면, 어떤 것을 고를 것인가?
What's the strangest thing in your room right now?	내 방에서 가장 독특한 물건은?
What's your favorite way to waste time?	시간을 가장 많이 낭비하는 방법은?
Do you have a specific morning or night routine?	아침이나 밤에 꼭 하는 루틴이 있는가?
Have you ever given or received a handwritten letter?	손편지를 써본 적 있거나 받아본 적이 있는가?
What's your love language?	내 사랑의 언어는?
What song do you know every single word to?	가사를 하나도 틀리지 않고 부를 수 있는 노래는?
Who's an underrated artist more people should listen to?	더 많은 사람들이 들어야 할 저평가된 가수는?
What's the best concert/show you've ever been to?	지금까지 가본 최고의 콘서트/공연은?
What movie can you watch over and over without getting tired of it?	질리지 않고 계속 볼 수 있는 영화는?
What song always puts you in a good mood?	기분이 좋아지는 노래는?
What TV show are you currently binging?	요즘 정주행 중인 드라마는?
What's the worst movie you've seen recently?	최근에 본 최악의 영화는?
What character from a show/movie do you relate to most?	가장 공감 가는 영화/드라마 캐릭터는?
If you could revive any canceled show, which would it be?	다시 부활시킬 수 있다면, 살리고 싶은 종영된 드라마는?
What's your guilty pleasure when it comes to music?	음악적으로 가장 부끄럽게 생각하는 취향은?
What song makes you emotional every time?	들을 때마다 감정이 폭발하는 노래는?
What album could you listen to on repeat?	무한 반복으로 들을 수 있는 앨범은?
What song lyrics hit differently now than when you first heard them?	처음 들었을 때와 지금이 느낌이 완전히 달라진 가사는?
If you could have any fictional character's wardrobe, whose would you choose?	어떤 캐릭터의 옷장을 가질 수 있다면, 누구의 것을 선택할 것인가?
What's the most underrated show nobody talks about?	정말 저평가되었는데 아무도 이야기하지 않는 드라마는?
What's the weirdest dream you've ever had?	살면서 꾼 가장 이상한 꿈은?
Would you rather always have to whisper or always have to shout?	평생 속삭이듯 말해야 한다면 vs 평생 소리치듯 말해야 한다면, 무엇을 선택할 것인가?
What's something you know you do differently than most people?	남들과 다르게 하는 행동 하나는?
What's a skill you wish you'd started learning earlier?	좀 더 일찍 배우기 시작했어야 했다고 후회하는 기술은?
If money and practicality weren't issues, what would you study?	돈과 실용성을 다 떠나서 공부하고 싶은 것은?
What's a career you think you'd be terrible at?	절대 할 수 없을 것 같은 직업은?
What's the most important life skill that isn't taught in school?	학교에서 가르쳐주지 않아서 아쉬운 중요한 인생 기술은?
What's a small goal you're currently working toward?	현재 달성하려고 하는 작은 목표는?
What's something you're learning outside of school/work right now?	학교나 직장 밖에서 요즘 배우고 있는 것은?
If your life had a soundtrack, what would be the title of the current chapter?	내 인생에 사운드트랙이 있다면, 지금 챕터의 제목은?
What's the most spontaneous thing you've ever done?	가장 충동적으로 해본 일은?
If you could uninvent one thing, what would it be?	세상에서 하나 없앨 수 있다면, 무엇을 없앨 것인가?
What's the best way someone has ever shown they care about you?	누군가 나에게 해줬던 최고의 배려는?
What's a quality you value most in your friends?	친구들에게 가장 중요하게 생각하는 덕목은?
What's something your friends would be surprised to learn about you?	내 친구들이 알면 놀랄 만한 사실 하나는?
What's the most meaningful gift you've ever received?	내가 받은 선물 중 가장 의미 있었던 것은?
Who in your life makes you laugh the most?	나를 가장 많이 웃게 만드는 사람은?
What's your idea of a perfect hangout with friends?	완벽한 친구 모임은 어떤 분위기인가?
What's something you appreciate about our friendship that I might not know?	우리 우정에서 내가 생각하는 소중한 점 하나는?
What's your love language (how you prefer to give and receive affection)?	내가 사랑을 표현하는 방식은?
What's a boundary you've gotten better at setting?	내가 더 잘하게 된 개인적인 경계(바운더리)는?
What's the most embarrassing thing that's happened on a date?	데이트하면서 겪은 가장 창피한 순간은?
What's a deal-breaker for you in any kind of relationship?	어떤 관계든 절대 용납할 수 없는 결정적 단점은?
What's something small that someone did that meant a lot to you?	누군가 해준 작은 행동 중 감동받은 것은?
How do you think your friends would describe you when you're not around?	내가 없는 자리에서 친구들이 나를 어떻게 설명할 것인가?
What's your go-to conversation starter with someone new?	처음 보는 사람과 대화할 때 쓰는 단골 멘트는?
What makes you feel most supported during tough times?	힘들 때 가장 도움이 되는 방법은?
What do you think your future self would be most surprised about your current self?	미래의 내가 지금의 나를 보고 가장 놀랄 만한 점은?
What's a question you wish people would ask you more often?	사람들이 나에게 좀 더 자주 물어봤으면 하는 질문은?
If you suddenly had 1 million followers online, what would you do with that platform?	갑자기 SNS에서 팔로워 100만 명이 생긴다면, 무엇을 할 것인가?
If you could tell your younger self one thing, what would it be?	어린 시절의 나에게 한 가지 조언을 해줄 수 있다면, 무엇을 말할 것인가?
What three words would you use to describe yourself right now?	지금의 나를 표현하는 세 단어는?
What part of your identity are you most proud of?	내가 가장 자랑스러워하는 정체성의 한 부분은?
What's something you're trying to improve about yourself?	요즘 나 자신에 대해 개선하려고 노력하는 점은?
When do you feel most like yourself?	언제 가장 나다운 기분이 드는가?
What's something you've recently discovered about yourself?	최근에 새롭게 깨달은 나의 특징은?
What's a question you've been asking yourself lately?	요즘 스스로에게 자주 던지는 질문은?
What's something you used to be insecure about that doesn't bother you anymore?	한때 콤플렉스였는데 이제는 신경 쓰이지 않는 것은?
What's something that used to seem important but now seems trivial?	예전에는 중요하게 생각했지만, 지금은 아무렇지도 않은 것은?
Who has had the biggest influence on the person you're becoming?	지금의 나를 만든 가장 큰 영향을 준 사람은?
What's the best decision you've made in the past year?	작년 한 해 동안 했던 최고의 결정은?
What's something you've overcome that you're proud of?	내가 극복한 것 중 가장 자랑스러운 것은?
What's a small habit that's improved your life?	내 인생에서 가장 도움이 된 작은 습관은?
What do you think your future self will thank you for?	미래의 내가 지금의 나에게 가장 고마워할 만한 것은?
What's the most important value you live by?	내가 가장 중요하게 여기는 가치관은?
If you could time travel, would you go to the past or future? What year and why?	과거 또는 미래로 시간 여행을 할 수 있다면, 몇 년도로 가고 싶은가?
If your life was a movie, which actor would play you?	내 인생이 영화라면, 나를 연기할 배우는 누구인가?
You've been given an elephant that you can't get rid of or sell. What do you do with it?	코끼리 한 마리를 선물 받았는데 팔 수도 없고 버릴 수도 없다면, 어떻게 할 것인가?
