content_ko	content_en
다른 사람들이 겉모습만 보고는 절대 알 수 없는 것을 적어보세요.	Write down something others would never guess about you just by looking at you.
당신의 완벽한 하루를 설명하세요!	Describe your perfect day!
어떻게 지내냐는 질문에 얼마나 자주 진실하게 대답하나요?	When you're asked how are you, how often do you answer truthfully?
최근에 생각을 바꾼 것이 있나요?	Have you changed your mind about anything recently?
정말로, 어떻게 지내세요?	How are you, really?
낯선 사람이 당신의 인생을 바꾼 적이 있나요?	Has a stranger ever changed your life?
낯선 사람이 준 최고의 칭찬은 무엇인가요?	What's been the best compliment a stranger has ever given you?
음악 라이브러리를 셔플해 보세요. 첫 번째로 나오는 노래를 설명해 주세요!	Press shuffle on your music library. Explain the first song that comes up!
더 자주 받고 싶은 칭찬은 무엇인가요?	What is a compliment you wish you received more frequently?
이 인생의 장에 제목을 붙인다면 무엇일까요?	What title would you give this chapter in your life?
당신에 대해 바꾸고 싶지 않은 것은 무엇인가요?	What is something you wouldn't want to change about yourself?
무엇을 더 갈망하나요?	What do you crave more of?
당신의 어린 자아가 오늘의 당신의 삶을 믿지 못할 것은 무엇일까요?	What would your younger self not believe about your life today?
지금 당신의 인생에서 가장 답을 찾고 있는 질문은 무엇인가요?	What question are you trying to answer most in your life right now?
가장 이른 행복의 기억은 무엇인가요?	What has been your earliest recollection of happiness?
문장을 완성하세요: 낯선 사람들은 나를 _______라고 묘사할 것입니다. 나는 _______라는 것을 알고 있습니다.	Finish the sentences: Strangers would describe me as _______. Only I know that I am _______.
당신에게 가장 설명할 수 없는 일은 무엇인가요?	What is the most unexplainable thing that's ever happened to you?
마지막으로 어머니에게 거짓말한 것은 무엇인가요?	What is the last thing you lied to your mother about?
아직도 자신에게 증명하려고 하는 것은 무엇인가요?	What are you still trying to prove to yourself?
실패와 성공 중 무엇이 더 두렵나요? 왜 그렇죠?	What are you more afraid of, failure or success? And why?
사랑한다는 말을 했지만 진심이 아니었던 적이 있나요? 그렇다면 왜 그렇죠?	Have you ever told someone I love you but didn't mean it? If so, why?
당신이 자신에 대해 가지고 있는 이미지가 사람들이 보는 이미지와 일치한다고 생각하나요?	Do you think the image you have of yourself matches the image people see you as?
무언가를 고백해 보세요.	Admit something.
당신이 해냈다면, 당신이 무적이 아니었다는 것을 깨달은 순간은 언제인가요?	If you have, when was the moment you realized you weren't invincible?
당신의 인생에서 더 깊이 알고 싶은 사람이 있다면 누구이며, 왜 그렇죠?	If you could get to know someone in your life on a deeper level, who would it be and why?
대부분의 사람들이 사랑하는 것을 강하게 싫어하는 것을 생각해 보세요.	Think of something you strongly dislike that most people love.
사랑에 빠진다는 느낌을 한 단어로 표현해 보세요.	How would you describe the feeling of being in love in one word?
육체적이지 않은 가장 큰 고통은 무엇이었나요?	What's the most pain you've ever been in that wasn't physical?
가장 오랫동안 배워야 했던 교훈은 무엇인가요?	What lesson took you the longest to unlearn?
마지막으로 자신에게 놀란 적은 언제인가요?	When was the last time you surprised yourself?
질문을 한 가지 해보세요. 두려워서 묻지 못했던 질문.	Ask a question you'd be too afraid to ask. Something you wouldn't dare to ask.
당신의 인생에서 무엇이 잘 되고 있나요? 무엇이 아픈가요?	What part of your life works? What part of your life hurts?
지금 그리운 사람이 있나요? 그 사람도 당신을 그리워하고 있다고 생각하나요?	Are you missing anyone right now? Do you think they are missing you too?
올해 가장 행복한 기억은 무엇인가요?	What's been your happiest memory this part year?
포기한 꿈은 무엇인가요?	What is a dream you've let go of?
그리워하는 감정이 있나요?	Is there a feeling you miss?
당신의 방식대로: 누구와 함께 있고 싶나요? 어디에 있고 싶나요? 그리고 무엇을 하고 싶나요?	If you could have it your way: who would be with? Where would you be? & What would you be doing?
모든 사람에게 소명이 있다고 생각하나요? 그렇다면, 내가 내 소명을 찾았다고 생각하나요?	Do you believe everyone has a calling? If so, do you think I've found mine?
현재 순간에 가장 감사한 것은?	Share something you're most grateful for in this current moment.
어떻게 하면 당신의 취약성을 얻을 수 있나요?	How does one earn your vulnerability?
지금 한 단어로 당신의 기분을 설명해 주세요.	In one word, describe how you feel right now.
지금 당장 들어야 할 것은 무엇인가요?	What do I need to hear right now?
자신만의 질문을 만들어보세요. 신중하게 만들어야 합니다.	Create your own question. Make it count.
당신을 정의하는 가장 대표적인 특성은 무엇이라고 생각하나요?	What is your defining characteristic?
생일을 어떻게 축하하는 것을 좋아하나요?	How do you like to celebrate your birthday?
시도해 보고 싶은 음식이 있나요?	Are there any foods that you would like to try?
세계를 여행하는 동안 피하고 싶은 곳이 있나요?	If you were travelling round the world, are there any places you avoid?
어디를 가든 항상 가지고 다니는 것은 무엇인가요?	What do you bring with you everywhere you go?
몇 살까지 살고 싶나요?	What age do you want to live to?
당신의 성격 중 가장 좋은 측면은 무엇인가요?	What is the best aspect of your personality?
발렌타인 데이를 어떻게 축하하는 것을 좋아하나요?	How do you like to celebrate valentines?
개인 생활에서 어떤 성공을 거두었나요?	What are some successes you've had in your personal life?
4성급 호텔과 2성급 호텔의 차이점은 무엇일까요?	What differences would you expect between a four-star and a two-star hotel?
과도하게 상업화된 휴일은 무엇인가요?	What holidays have been over commercialized?
휴가를 얼마나 미리 계획하는 것을 좋아하나요?	How far in advance do you like to plan your vacation?
식료품 쇼핑을 할 때마다 항상 사는 것은 무엇인가요?	What do you get every time you go grocery shopping?
마지막으로 간 콘서트는 무엇이었나요?	What was the last concert you went to?
아름다움은 보는 사람의 눈에만 있는 것인가요, 아니면 어떤 것은 보편적으로 못생겼나요?	Is beauty only in the eye of the beholder, or are some things universally ugly?
부모님을 얼마나 자주 보나요?	How often do you see your parents?
보통 규칙을 어기나요, 따르나요?	Do you usually break the rules or follow them?
식당 내부를 어떤 스타일로 좋아하나요?	What kind of interior do you like a restaurant to have?
변기에 무언가를 떨어뜨린 적이 있나요?	Have you ever dropped anything in the toilet?
스트레스를 해소하기 위해 무엇을 하나요?	What do you do to get rid of stress?
어른이 되면 어떤 문제를 해결하고 싶나요?	What problems do you want to solve when you grow up?
당신만의 지옥은 어떻게 생겼나요?	What does your own personal hell look like?
가장 창피한 순간은 무엇인가요?	What is your most embarrassing moment?
당신의 인생에서 가장 큰 기쁨을 가져다주는 사람은 누구인가요?	Who in your life brings you the most joy?
선과 악을 누가 정의하나요?	Who defines good and evil?
가장 웃긴 일은 무엇인가요?	What is the funniest thing that's ever happened to you?
다른 사람의 겨드랑이를 핥는 것과 다른 사람이 내 겨드랑이를 핥는 것 중 어떤 것을 선택하겠습니까?	Would you rather lick someone else's armpit or have someone else likc your armpit?
신뢰가 사랑보다 더 중요한가요?	Is trust more important than love?
당신의 시그니처 요리는 무엇인가요?	What is your signature dish?
자유란 무엇인가요?	What is freedom?
가장 아름다운 노래는 무엇인가요?	What is the most beautiful song you have heard?
가장 싫어하는 계절은 언제인가요?	What time of year do you dislike the most?
가장 가치 있는 소유물은 무엇인가요?	What is the most valuable thing that you own?
어떻게 죽고 싶나요?	How would you like to die?
가장 좋아하는 TV 프로그램은 무엇인가요?	What is your favorite TV show?
과속 딱지를 받은 적이 있나요?	Have you ever gotten a speeding ticket?
인생에서 겪은 도전들이 당신을 더 나은 사람으로 만들었다고 생각하나요?	Do you think that the challenges you have faced in your life have made you a better or worse person?
마지막으로 본 재미있는 동영상은 무엇인가요?	What was the last funny video you saw?
단기 목표는 무엇인가요?	What are some of your short-term goals?
혼자 휴가를 간 적이 있나요?	Have you ever gone on vacation by yourself?
어떤 책 장르를 좋아하나요?	What book genres do you like to read?
깔끔한 편인가요, 지저분한 편인가요?	Are you messy or organized?
마지막으로 영화관에 간 것은 언제인가요?	When was the last time you went to a movie theater?
가장 과소평가되거나 과대평가된 TV 프로그램은 무엇인가요?	What's the most underrated or overrated TV show?
가장 긴 책은 무엇인가요?	What is the longest book you have read?
가장 큰 성공은 무엇인가요?	What is your biggest success?
사계절이 있는 곳에서 사는 것이 좋을까요, 아니면 한 계절이 대부분을 차지하는 곳에서 사는 것이 좋을까요?	Is it better to live where there are four seasons or where one season takes up most of the year?
10년 후의 전화기는 어떻게 변할까요?	What will phones be like in 10 years?
당신의 대가족 중 가장 흥미로운 사람은 누구인가요?	Who is the most interesting person in your extended family?
가장 좋아하는 계절은 무엇인가요?	What is your favorite season?
휴일을 발명할 수 있다면, 어떤 휴일을 만들겠습니까?	If you could invent a holiday, what would it be?
어린 시절 어떤 만화를 보았나요?	What cartoons did you watch as a child?
공포 영화를 좋아하나요?	Do you like horror movies?
가장 뛰어난 기술이나 재능은 무엇인가요?	What is your best skill or talent?
자연 지역을 아름답게 만드는 요소는 무엇인가요?	What features make a natural area beautiful?
