content_en,content_ko
Do you have a consistent bedtime? Is it important to you?,일정한 잠자리 시간이 있나요? 그것이 중요하신가요?
Is there a habit you would like to develop? Or one you would like to break?,기르고 싶은 습관이 있나요? 아니면 끊고 싶은 습관이 있나요?
"Do you speak more than one language? If not, would you like to?",여러 언어를 할 수 있나요? 아니면 배우고 싶나요?
In what ways are you similar to your parents? And how are you different?,부모님과 어떤 면에서 비슷한가요? 그리고 어떻게 다른가요?
Are most people trustworthy and reliable? Are you quick to trust people?,대부분의 사람들은 믿을 만하고 신뢰할 만하다고 생각하시나요? 당신은 사람을 빨리 믿는 편인가요?
What's the most fun you can have for $20?,2만원으로 가장 재미있게 할 수 있는 것은 무엇인가요?
How does your mood affect the music you choose?,기분이 선택하는 음악에 어떤 영향을 주나요?
Do you enjoy a rainy day? Why?,비 오는 날을 좋아하나요? 왜요?
"What is something you expected to use often, but you don't?",자주 사용할 것 같았지만 사용하지 않은 물건이 있나요?
What kind of exercise do you enjoy? What do you like about it?,어떤 운동을 좋아하나요? 그것에 대해 무엇을 좋아하나요?
Have you gotten back in touch with someone after a long time apart?,오랜 시간 동안 연락이 끊긴 누군가와 다시 연락을 해본 적이 있나요?
When have you tried out for something? How did it go?,언제 어떤 것에 도전해 보셨나요? 결과는 어떠했나요?
Which of your personality traits have helped you most in life?,당신의 성격 특성 중 어떤 것이 당신의 삶에서 가장 도움이 되었나요?
